name,survived,female,age,sibsp,parch,pclass,ticket,fare,cabin,embarked,boat,body,home_dest
"Abbing, Mr. Anthony",0,0,42,0,0,Third,C.A. 5547,7.5500,,S,,,
"Abbott, Master. Eugene Joseph",0,0,13,0,2,Third,C.A. 2673,20.2500,,S,,,"East Providence, RI"
"Abbott, Mr. Rossmore Edward",0,0,16,1,1,Third,C.A. 2673,20.2500,,S,,190,"East Providence, RI"
"Abbott, Mrs. Stanton (Rosa Hunt)",1,1,35,1,1,Third,C.A. 2673,20.2500,,S,A,,"East Providence, RI"
"Abelseth, Miss. Karen Marie",1,1,16,0,0,Third,348125,7.6500,,S,16,,"Norway / Los Angeles, CA"
"Abelseth, Mr. Olaus Jorgensen",1,0,25,0,0,Third,348122,7.6500,F G63,S,A,,"Perkins County, SD"
"Abelson, Mr. Samuel",0,0,30,1,0,Second,P/PP 3381,24.0000,,C,,,"Russia / New York, NY"
"Abelson, Mrs. Samuel (Hannah Wizosky)",1,1,28,1,0,Second,P/PP 3381,24.0000,,C,10,,"Russia / New York, NY"
"Abrahamsson, Mr. Abraham August Johannes",1,0,20,0,0,Third,SOTON/O2 3101284,7.9250,,S,15,,"Taalintehdas, Finland / Hoboken, NJ"
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",1,1,18,0,0,Third,2657,7.2292,,C,C,,"Greensburg, PA"
"Adahl, Mr. Mauritz Nils Martin",0,0,30,0,0,Third,C 7076,7.2500,,S,,72,"Asarum, Sweden / Brooklyn, NY"
"Adams, Mr. John",0,0,26,0,0,Third,341826,8.0500,,S,,103,"Bournemouth, England"
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0,1,40,1,0,Third,7546,9.4750,,S,,,"Sweden / Akeley, MN"
"Aks, Master. Philip Frank",1,0,0.8333,0,1,Third,392091,9.3500,,S,11,,"London, England / Norfolk, VA"
"Aks, Mrs. Sam (Leah Rosen)",1,1,18,0,1,Third,392091,9.3500,,S,13,,"London, England / Norfolk, VA"
"Albimona, Mr. Nassef Cassem",1,0,26,0,0,Third,2699,18.7875,,C,15,,"Syria / Fredericksburg, VA"
"Aldworth, Mr. Charles Augustus",0,0,30,0,0,Second,248744,13.0000,,S,,,"Bryn Mawr, PA"
"Alexander, Mr. William",0,0,26,0,0,Third,3474,7.8875,,S,,,"England / Albion, NY"
"Alhomaki, Mr. Ilmari Rudolf",0,0,20,0,0,Third,SOTON/O2 3101287,7.9250,,S,,,"Salo, Finland / Astoria, OR"
"Ali, Mr. Ahmed",0,0,24,0,0,Third,SOTON/O.Q. 3101311,7.0500,,S,,,
"Ali, Mr. William",0,0,25,0,0,Third,SOTON/O.Q. 3101312,7.0500,,S,,79,Argentina
"Allen, Miss. Elisabeth Walton",1,1,29,0,0,First,24160,211.3375,B5,S,2,,"St Louis, MO"
"Allen, Mr. William Henry",0,0,35,0,0,Third,373450,8.0500,,S,,,"Lower Clapton, Middlesex or Erdington, Birmingham"
"Allison, Master. Hudson Trevor",1,0,0.9167,1,2,First,113781,151.5500,C22 C26,S,11,,"Montreal, PQ / Chesterville, ON"
"Allison, Miss. Helen Loraine",0,1,2,1,2,First,113781,151.5500,C22 C26,S,,,"Montreal, PQ / Chesterville, ON"
"Allison, Mr. Hudson Joshua Creighton",0,0,30,1,2,First,113781,151.5500,C22 C26,S,,135,"Montreal, PQ / Chesterville, ON"
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",0,1,25,1,2,First,113781,151.5500,C22 C26,S,,,"Montreal, PQ / Chesterville, ON"
"Allum, Mr. Owen George",0,0,18,0,0,Third,2223,8.3000,,S,,259,"Windsor, England / New York, NY"
"Andersen-Jensen, Miss. Carla Christine Nielsine",1,1,19,1,0,Third,350046,7.8542,,S,16,,
"Andersen, Mr. Albert Karvin",0,0,32,0,0,Third,C 4001,22.5250,,S,,260,"Bergen, Norway"
"Anderson, Mr. Harry",1,0,48,0,0,First,19952,26.5500,E12,S,3,,"New York, NY"
"Andersson, Master. Sigvard Harald Elias",0,0,4,4,2,Third,347082,31.2750,,S,,,"Sweden / Winnipeg, MB"
"Andersson, Miss. Ebba Iris Alfrida",0,1,6,4,2,Third,347082,31.2750,,S,,,"Sweden / Winnipeg, MB"
"Andersson, Miss. Ellis Anna Maria",0,1,2,4,2,Third,347082,31.2750,,S,,,"Sweden / Winnipeg, MB"
"Andersson, Miss. Erna Alexandra",1,1,17,4,2,Third,3101281,7.9250,,S,D,,"Ruotsinphytaa, Finland / New York, NY"
"Andersson, Miss. Ida Augusta Margareta",0,1,38,4,2,Third,347091,7.7750,,S,,,"Vadsbro, Sweden / Ministee, MI"
"Andersson, Miss. Ingeborg Constanzia",0,1,9,4,2,Third,347082,31.2750,,S,,,"Sweden / Winnipeg, MB"
"Andersson, Miss. Sigrid Elisabeth",0,1,11,4,2,Third,347082,31.2750,,S,,,"Sweden / Winnipeg, MB"
"Andersson, Mr. Anders Johan",0,0,39,1,5,Third,347082,31.2750,,S,,,"Sweden / Winnipeg, MB"
"Andersson, Mr. August Edvard (""Wennerstrom"")",1,0,27,0,0,Third,350043,7.7958,,S,A,,
"Andersson, Mr. Johan Samuel",0,0,26,0,0,Third,347075,7.7750,,S,,,"Hartford, CT"
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",0,1,39,1,5,Third,347082,31.2750,,S,,,"Sweden / Winnipeg, MB"
"Andreasson, Mr. Paul Edvin",0,0,20,0,0,Third,347466,7.8542,,S,,,"Sweden / Chicago, IL"
"Andrew, Mr. Edgardo Samuel",0,0,18,0,0,Second,231945,11.5000,,S,,,"Buenos Aires, Argentina / New Jersey, NJ"
"Andrew, Mr. Frank Thomas",0,0,25,0,0,Second,C.A. 34050,10.5000,,S,,,"Cornwall, England / Houghton, MI"
"Andrews, Miss. Kornelia Theodosia",1,1,63,1,0,First,13502,77.9583,D7,S,10,,"Hudson, NY"
"Andrews, Mr. Thomas Jr",0,0,39,0,0,First,112050,0.0000,A36,S,,,"Belfast, NI"
"Angheloff, Mr. Minko",0,0,26,0,0,Third,349202,7.8958,,S,,,"Bulgaria / Chicago, IL"
"Angle, Mr. William A",0,0,34,1,0,Second,226875,26.0000,,S,,,"Warwick, England"
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",1,1,36,1,0,Second,226875,26.0000,,S,11,,"Warwick, England"
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",1,1,53,2,0,First,11769,51.4792,C101,S,D,,"Bayside, Queens, NY"
"Arnold-Franchi, Mr. Josef",0,0,25,1,0,Third,349237,17.8000,,S,,,"Altdorf, Switzerland"
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",0,1,18,1,0,Third,349237,17.8000,,S,,,"Altdorf, Switzerland"
